 Financial Report for
 Year 2024  Month 02  Day 09

 Account   Last Name                Limit       Balance
 --------  ----------               ----------  -------------
 17891797  Washington               $10,000.00        $188.74
 17971801  Adams                    $10,000.00      $3,188.33
 18011809  Jefferson                $10,000.00      $7,008.13
 18091817  Madison                  $10,000.00        $503.13
 18171825  Monroe                   $10,000.00     $31,313.13
 18251829  Adams ii                 $10,000.00     $31,250.33
 18291837  Jackson                  $10,000.00      $3,318.30
 18371841  Van buren                $10,000.00        $325.00
 18411841  Harrison                 $10,000.00        $313.50
 18411845  Tyler                    $10,000.00        $121.65
 18451849  Polk                     $10,000.00        $314.05
 18491850  Taylor                   $10,000.00        $828.20
 18501853  Fillmore                 $10,000.00        $373.10
 18531857  Pierce                   $10,000.00        $315.07
 18571861  Buchanan                 $10,000.00          $7.90
 18611865  Lincoln                 $100,000.00        $313.13
 18651869  Johnson                 $100,000.00        $603.14
 18691877  Grant                   $100,000.00     $32,318.30
 18771881  Hayes                   $100,000.00      $5,860.55
 18811881  Garfield                $100,000.00      $5,600.27
 18811885  Arthur                  $100,000.00     $31,070.23
 18851889  Cleveland               $100,000.00     $99,313.10
 18891893  Harrison ii             $100,000.00      $5,003.13
 18931897  Cleveland ii            $100,000.00     $40,050.24
 18971901  Mckinley                $100,000.00     $31,950.13
 19011909  Roosevelt             $1,000,000.00    $781,319.43
 19091913  Taft                  $1,000,000.00     $40,199.73
 19131921  Wilson                $1,000,000.00     $84,033.13
 19211923  Harding               $1,000,000.00     $11,829.27
 19231929  Coolidge              $1,000,000.00     $10,619.20
 19291933  Hoover                $1,000,000.00     $31,318.33
 19331945  Roosevelt ii          $5,000,000.00     $31,310.23
 19451953  Truman                $5,000,000.00     $60,992.53
 19531961  Eisenhower            $5,000,000.00     $32,502.50
 19611963  Kennedy               $1,700,000.00  $5,084,035.13
 19631969  Johnson ii            $1,700,000.00        $833.13
 19691974  Nixon                 $1,700,000.00        $600.34
 19741977  Ford                  $1,700,000.00  $5,051,318.40
 19771981  Carter                  $100,000.00  $3,118,826.10
 19811989  Reagan                  $100,000.00     $50,278.80
 19891993  Bush                    $100,000.00     $40,793.10
 19932001  Clinton                 $100,000.00  $8,118,313.14
 20012009  Bush ii                 $100,000.00     $31,313.20
 20092017  Obama                 $9,950,000.00     $92,311.00
 20172021  Trump                 $8,100,000.00         $10.00
                                -------------- --------------
                       Totals = $47,500,000.00 $23,004,207.47
